node,degree,pagerank,kcore,membership_infomap
V1,11,0.0173232444832657,3,1
V2,15,0.0227886667390276,3,1
V3,19,0.0288279525165071,3,1
V4,5,0.00797175041726918,3,1
V5,18,0.0267938653374589,3,1
V6,20,0.0307648791227919,3,1
V7,22,0.0333064694690588,3,1
V8,20,0.030708810411561,3,1
V9,8,0.0127278435758278,3,1
V10,21,0.0322022949824896,3,1
V11,15,0.0235254881416194,3,1
V12,5,0.0084570117688088,3,1
V13,8,0.0126504805082934,3,1
V14,12,0.0193693021217699,3,1
V15,8,0.0128360941863147,3,1
V16,10,0.0160667081832648,3,1
V17,3,0.00543028991735942,3,1
V18,4,0.00695377511192475,3,1
V19,8,0.0130687747623257,3,1
V20,5,0.00839148666095422,3,1
V21,3,0.00551589064842573,3,1
V22,6,0.00989148005753037,3,1
V23,8,0.0129540022009888,3,1
V24,5,0.00835690073477747,3,1
V25,7,0.0116310604259416,3,1
V26,7,0.0120064020724927,3,1
V27,4,0.00709220472199715,3,1
V28,5,0.00848669177163895,3,1
V29,6,0.0102020542299852,3,1
V30,6,0.0104431475676566,3,1
V31,5,0.00855875824860785,3,1
V32,6,0.0103579492862044,3,1
V33,6,0.0102838939475176,3,1
V34,7,0.0118154939525112,3,1
V35,5,0.00871009742105908,3,1
V36,4,0.00704477144623016,3,1
V37,7,0.011779778345099,3,1
V38,5,0.00927600410813626,3,1
V39,5,0.00878571139375767,3,1
V40,4,0.00710131970370348,3,1
V41,5,0.00865924680862716,3,1
V42,4,0.00720966946863712,3,1
V43,8,0.0133295014752976,3,1
V44,6,0.0102582022856,3,1
V45,7,0.0124469631657219,3,1
V46,7,0.0118672616239995,3,1
V47,3,0.00592835883742656,3,1
V48,4,0.00725186028710245,3,1
V49,4,0.00729019364344899,3,1
V50,6,0.0105668335073932,3,1
V51,4,0.00717177781748131,3,1
V52,4,0.00745232454869227,3,1
V53,5,0.0086825677194307,3,1
V54,3,0.00589354521127357,3,1
V55,5,0.00890289105600465,3,1
V56,3,0.00568196760400259,3,1
V57,5,0.00889133684231197,3,1
V58,5,0.00892192253143294,3,1
V59,5,0.00858987645485468,3,1
V60,4,0.00727685817414693,3,1
V61,4,0.00766169385278678,3,1
V62,3,0.0056580892998637,3,1
V63,3,0.0056801174759614,3,1
V64,3,0.00568861643738019,3,1
V65,4,0.00704353041633103,3,1
V66,5,0.00916715776670582,3,1
V67,3,0.00572961009225078,3,1
V68,4,0.00731584035020363,3,1
V69,4,0.00743578590750413,3,1
V70,3,0.00599687517054689,3,1
V71,8,0.0136415723251542,3,1
V72,4,0.00742602974326536,3,1
V73,6,0.0103265705262274,3,1
V74,3,0.0057021556092655,3,1
V75,3,0.00587982611351299,3,1
V76,3,0.00581695250927686,3,1
V77,3,0.00600275522962544,3,1
V78,5,0.00884909340446362,3,1
V79,4,0.00740284076908909,3,1
V80,3,0.0054683280421964,3,1
V81,3,0.00578246340400409,3,1
V82,4,0.00735053577078816,3,1
V83,3,0.00562687970144711,3,1
V84,5,0.00903032523387097,3,1
V85,3,0.0055686370933737,3,1
V86,3,0.00577063265002684,3,1
V87,3,0.00559142199942834,3,1
V88,3,0.00572909703562074,3,1
V89,3,0.00596669145895698,3,1
V90,3,0.00559003541695805,3,1
V91,4,0.00752711745013491,3,1
V92,3,0.00579650176689962,3,1
V93,3,0.00573310668041939,3,1
V94,3,0.00607386023854021,3,1
V95,3,0.00566829841177561,3,1
V96,3,0.00573764098384633,3,1
V97,3,0.00589691190946674,3,1
V98,4,0.00757279093450321,3,1
V99,3,0.00570808321817882,3,1
V100,3,0.00565356783510893,3,1
