node,degree,pagerank,kcore,membership_infomap
1,11,0.0173232444832657,3,1
2,15,0.0227886667390276,3,1
3,19,0.0288279525165071,3,1
4,5,0.00797175041726918,3,1
5,18,0.0267938653374589,3,1
6,20,0.0307648791227918,3,1
7,22,0.0333064694690588,3,1
10,21,0.0322022949824897,3,1
9,8,0.0127278435758278,3,1
13,8,0.0126504805082934,3,1
11,15,0.0235254881416194,3,1
8,20,0.030708810411561,3,1
14,12,0.0193693021217699,3,1
15,8,0.0128360941863147,3,1
12,5,0.0084570117688088,3,1
24,5,0.00835690073477746,3,1
23,8,0.0129540022009888,3,1
22,6,0.00989148005753037,3,1
18,4,0.00695377511192475,3,1
25,7,0.0116310604259416,3,1
16,10,0.0160667081832648,3,1
19,8,0.0130687747623257,3,1
29,6,0.0102020542299852,3,1
28,5,0.00848669177163895,3,1
27,4,0.00709220472199715,3,1
34,7,0.0118154939525112,3,1
31,5,0.00855875824860785,3,1
33,6,0.0102838939475176,3,1
35,5,0.00871009742105909,3,1
26,7,0.0120064020724927,3,1
20,5,0.00839148666095422,3,1
36,4,0.00704477144623016,3,1
32,6,0.0103579492862044,3,1
30,6,0.0104431475676566,3,1
40,4,0.00710131970370348,3,1
38,5,0.00927600410813626,3,1
37,7,0.011779778345099,3,1
43,8,0.0133295014752976,3,1
46,7,0.0118672616239995,3,1
45,7,0.0124469631657219,3,1
50,6,0.0105668335073932,3,1
39,5,0.00878571139375766,3,1
41,5,0.00865924680862715,3,1
44,6,0.0102582022856,3,1
53,5,0.0086825677194307,3,1
55,5,0.00890289105600463,3,1
58,5,0.00892192253143295,3,1
51,4,0.00717177781748131,3,1
60,4,0.00727685817414693,3,1
59,5,0.00858987645485468,3,1
52,4,0.00745232454869227,3,1
68,4,0.00731584035020363,3,1
69,4,0.00743578590750413,3,1
66,5,0.00916715776670582,3,1
71,8,0.0136415723251542,3,1
49,4,0.00729019364344899,3,1
65,4,0.00704353041633103,3,1
48,4,0.00725186028710245,3,1
73,6,0.0103265705262274,3,1
78,5,0.00884909340446361,3,1
84,5,0.00903032523387096,3,1
61,4,0.00766169385278679,3,1
42,4,0.00720966946863712,3,1
57,5,0.00889133684231198,3,1
91,4,0.00752711745013491,3,1
72,4,0.00742602974326536,3,1
82,4,0.00735053577078816,3,1
79,4,0.00740284076908909,3,1
98,4,0.00757279093450321,3,1
17,3,0.00543028991735942,3,1
21,3,0.00551589064842573,3,1
47,3,0.00592835883742656,3,1
54,3,0.00589354521127356,3,1
56,3,0.00568196760400259,3,1
62,3,0.0056580892998637,3,1
63,3,0.0056801174759614,3,1
64,3,0.00568861643738019,3,1
67,3,0.00572961009225077,3,1
70,3,0.00599687517054689,3,1
74,3,0.0057021556092655,3,1
75,3,0.00587982611351299,3,1
76,3,0.00581695250927686,3,1
77,3,0.00600275522962544,3,1
80,3,0.0054683280421964,3,1
81,3,0.00578246340400409,3,1
83,3,0.00562687970144711,3,1
85,3,0.0055686370933737,3,1
86,3,0.00577063265002684,3,1
87,3,0.00559142199942834,3,1
88,3,0.00572909703562074,3,1
89,3,0.00596669145895698,3,1
90,3,0.00559003541695805,3,1
92,3,0.00579650176689961,3,1
93,3,0.0057331066804194,3,1
94,3,0.00607386023854021,3,1
95,3,0.00566829841177561,3,1
96,3,0.00573764098384633,3,1
97,3,0.00589691190946674,3,1
99,3,0.00570808321817882,3,1
100,3,0.00565356783510893,3,1
